byte code (DEC),ASCII Representation of Action,Action Description
142,Ž,
143,SS3,Single Shift Three
144,DCS,Device Control String
145,‘,
146,’,
147,“,
148,”,
149,•,
150,–,
151,—,
152,˜,
153,™,
154,š,
155,›,
156,œ,
157,OSC,Operating System Command
158,ž,
159,Ÿ,
160, ,
161,¡,
162,¢,
163,£,
164,¤,
165,¥,
166,¦,
167,§,
168,¨,
169,©,
170,ª,
171,«,
172,¬,
173,­,
174,®,
175,¯,
176,°,
177,±,
178,²,
179,³,
180,´,
181,µ,
182,¶,
183,·,
184,¸,
185,¹,
186,º,
187,»,
188,¼,
189,½,
190,¾,
191,¿,
192,À,
193,Á,
194,Â,
195,Ã,
196,Ä,
197,Å,
198,Æ,
199,Ç,
200,È,
201,É,
202,Ê,
203,Ë,
204,Ì,
205,Í,
206,Î,
207,Ï,
208,Ð,
209,Ñ,
210,Ò,
211,Ó,
212,Ô,
213,Õ,
214,Ö,
215,×,
216,Ø,
217,Ù,
218,Ú,
219,Û,
220,Ü,
221,Ý,
222,Þ,
223,ß,
224,à,
225,á,
226,â,
227,ã,
228,ä,
229,å,
230,æ,
231,ç,
232,è,
233,é,
234,ê,
235,ë,
236,ì,
237,í,
238,î,
239,ï,
240,ð,
241,ñ,
242,ò,
243,ó,
244,ô,
245,õ,
246,ö,
247,÷,
248,ø,
249,ù,
250,ú,
251,û,
252,ü,
253,ý,
254,þ,
255,ÿ,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,BOOT,Bootloader Mode
271,,
272,AMBILEFT,AmbiThrow (left)
273,AMBIRIGHT,AmbiThrow (right)
274,SECLEFT,Number KeyMap(left)
275,SECRIGHT,Number KeyMap(right)
276,SPURTOGGLE,Spur Toggle
277,DUP,Repeat Last Note
278,IMPULSETOGGLE,Toggle Impulse Function in Firmware
279,GTM,GTM Toggle
280,TERLEFT,Tertiary Keymap (left)
281,TERRIGHT,Tertiary Keymap (right)
282,,
283,,
284,,
285,,
286,,
287,,
288,SPACERIGHT,Right spacebar
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,M_CLICK,Mouse Left Button Press and Release
318,M_RCLICK,Mouse Right Button Press and Release
319,M_MCLICK,Mouse Middle Button Press and Release
320,M_MRIGHT,Mouse Move Right
321,M_MOVELEFT,Mouse Move Left
322,M_MDOWN,Mouse Move Down
323,M_MOVEUP,Mouse Move Up
324,M_SCROLLRIGHT,Mouse Scroll Coast Right
325,M_SCROLLLEFT,Mouse Scroll Coast Left
326,M_SCROLLDOWN,Mouse Scroll Coast Down
327,M_SCROLLUP,Mouse Scroll Coast Up
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,RELEASEMODS,Release All Modifier Keys
383,RELEASEALL,Release All Keys
384,LEFTCONTROL,LeftControl
385,LEFTSHIFT,LeftShift
386,LEFTALT,LeftAlt
387,LEFTGUI,Left GUI
388,RIGHTCONTROL,RightControl
389,RIGHTSHIFT,RightShift
390,RIGHTALT,RightAlt
391,RIGHTGUI,RightGUI
392,CAPS,Caps Lock
393,F1,F1
394,F2,F2
395,F3,F3
396,F4,F4
397,F5,F5
398,F6,F6
399,F7,F7
400,F8,F8
401,F9,F9
402,F10,F10
403,F11,F11
404,F12,F12
405,PRINTSCREEN,PrintScreen
406,SCROLLLOCK,Scroll Lock
407,PAUSE,Pause
408,INSERT,Insert
409,HOME,Home
410,PAGEUP,PageUp
411,DELETEFORWARD,Delete Forward
412,END,End
413,PAGEDOWN,PageDown
414,RIGHTARROW,RightArrow
415,LEFTARROW,LeftArrow
416,DOWNARROW,DownArrow
417,UPARROW,UpArrow
418,NUMLOCK,Num Lock and Clear
419,F13,F13
420,F14,F14
421,F15,F15
422,F16,F16
423,F17,F17
424,F18,F18
425,F19,F19
426,F20,F20
427,F21,F21
428,F22,F22
429,F23,F23
430,F24,F24
431,EXECUTE,Execute
432,HELP,Help
433,MENU,Menu
434,SELECT,Select
435,STOP,Stop
436,AGAIN,Again
437,UNDO,Undo
438,CUT,Cut
439,COPY,Copy
440,PASTE,Paste
441,FIND,Find
442,MUTE,Mute
443,VOLUP,Volume Up
444,VOLDOWN,Volume Down
445,INTL1,International1
446,INTL2,International2
447,INTL3,International3
448,INTL4,International4
449,INTL5,International5
450,INTL6,International6
451,INTL7,International7
452,INTL8,International8
453,INTL9,International9
454,LANG1,LANG1
455,LANG2,LANG2
456,LANG3,LANG3
457,LANG4,LANG4
458,LANG5,LANG5
459,LANG6,LANG6
460,LANG7,LANG7
461,LANG8,LANG8
462,LANG9,LANG9
463,ALTERASE,Alternate Erase
464,SYSREQATTENTION,SysReq/Attention
465,CANCEL,Cancel
466,CLEAR,Clear
467,PRIOR,Prior
468,RETURN,Return
469,SEPARATOR,Separator
470,OUT,Out
471,OPER,Oper
472,CLEAR/AGAIN,Clear/Again
473,CRSEL/PROPS,CrSel/Props
474,EXSEL,ExSel
475,THOUSANDSSEPARATOR,Thousands Separator
476,DECIMALSEPARATOR,Decimal Separator
477,CURRENCYUNIT,Currency Unit
478,CURRENCYSUBUNIT,Currency Sub-unit
479,KPMSTORE,Keypad Memory Store
480,KPMRECALL,Keypad Memory Recall
481,KPMCLEAR,Keypad Memory Clear
482,KPMADD,Keypad Memory Add
483,KPMSUBTRACT,Keypad Memory Subtract
484,KPMMULTIPLY,Keypad Memory Multiply
485,KPMDIVIDE,Keypad Memory Divide
486,KP+/-,Keypad +/-
487,KPCLEAR,Keypad Clear
488,KPCLEARENTRY,Keypad Clear Entry
489,KPBINARY,Keypad Binary
490,KPOCTAL,Keypad Octal
491,KPDECIMAL,Keypad Decimal
492,KPHEXADECIMAL,Keypad Hexadecimal
493,MEDIAPLAYPAUSE,KEY_MEDIA_PLAYPAUSE
494,MEDIASTOP,KEY_MEDIA_STOPCD
495,MEDIAPREVIOUS,KEY_MEDIA_PREVIOUSSONG
496,MEDIANEXTSONG,KEY_MEDIA_NEXTSONG
497,MEDIAEJECT,KEY_MEDIA_EJECTCD
498,MEDIAVOLUMEUP,KEY_MEDIA_VOLUMEUP
499,MEDIAVOLUMEDOWN,KEY_MEDIA_VOLUMEDOWN
500,MEDIAMUTE,KEY_MEDIA_MUTE
501,MEDIAWWW,KEY_MEDIA_WWW
502,MEDIABACK,KEY_MEDIA_BACK
503,MEDIAFORWARD,KEY_MEDIA_FORWARD
504,MEDIASTOP,KEY_MEDIA_STOP
505,MEDIAFIND,KEY_MEDIA_FIND
506,MEDIASCROLLUP,KEY_MEDIA_SCROLLUP
507,MEDIASCROLLDOWN,KEY_MEDIA_SCROLLDOWN
508,MEDIAEDIT,KEY_MEDIA_EDIT
509,MEDIASLEEP,KEY_MEDIA_SLEEP
510,MEDIACOFFEE,KEY_MEDIA_COFFEE
511,MEDIAREFRESH,KEY_MEDIA_REFRESH
512,,
